;;;;Lightning;DataFly;IGreedy
Quality measure;Suppression limit;Privacy model;Dataset;Value;Value;Value
Non-uniform entropy;0.1;recursive-(4,3)-diversity;ADULT;0.12376480160678634;0.2797972245699726;0.2797972245699726
Non-uniform entropy;0.1;recursive-(4,3)-diversity;CUP;0.04800974041996602;0.31428110544055843;0.31428110544055843
Non-uniform entropy;0.1;recursive-(4,3)-diversity;FARS;0.05069757289439337;0.11685521304650212;0.11685521304650212
Non-uniform entropy;0.1;recursive-(4,3)-diversity;ATUS;0.1289191271253006;0.6416202004494386;0.6416202004494386
Non-uniform entropy;0.1;recursive-(4,3)-diversity;IHIS;0.07138343623510446;0.23161102832257435;0.23161102832257435
Non-uniform entropy;0.1;(0.2)-closeness;ADULT;0.39202582539735353;0.0;0.0
Non-uniform entropy;0.1;(0.2)-closeness;CUP;0.17218128533788127;0.3438009676560061;0.3438009676560061
Non-uniform entropy;0.1;(0.2)-closeness;FARS;0.187724580699322;0.126123790034371;0.126123790034371
Non-uniform entropy;0.1;(0.2)-closeness;ATUS;0.24929680004861093;0.5251700603356251;0.5251700603356251
Non-uniform entropy;0.1;(0.2)-closeness;IHIS;0.25761049946411035;0.4869901643247385;0.28660731622903596
Non-uniform entropy;0.1;(0.05, 0.015)-presence;ADULT;0.1286363716882969;0.147273548200362;0.147273548200362
Non-uniform entropy;0.1;(0.05, 0.015)-presence;CUP;0.253621592003952;0.253621592003952;0.253621592003952
Non-uniform entropy;0.1;(0.05, 0.015)-presence;FARS;0.7546287520765894;0.23050733385826402;0.23050733385826402
Non-uniform entropy;0.1;(0.05, 0.015)-presence;ATUS;0.22413931025604772;0.7780258076145867;0.7780258076145867
Non-uniform entropy;0.1;(0.05, 0.015)-presence;IHIS;0.32607298338041496;0.38132928224320306;0.38132928224320306
Non-uniform entropy;0.1;(0.01)-uniqueness;ADULT;0.029210174433388126;0.029210174433388126;0.029210174433388126
Non-uniform entropy;0.1;(0.01)-uniqueness;CUP;0.17831395082144222;0.09861134804685558;0.09861134804685558
Non-uniform entropy;0.1;(0.01)-uniqueness;FARS;0.0740141657679923;0.0740141657679923;0.0740141657679923
Non-uniform entropy;0.1;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Non-uniform entropy;0.1;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
Precision;0.0;(5)-anonymity;ADULT;0.16666666666666666;0.75;0.75
Precision;0.0;(5)-anonymity;CUP;1.0;0.8000000000000006;0.8000000000000006
Precision;0.0;(5)-anonymity;FARS;0.5;0.5;0.5
Precision;0.0;(5)-anonymity;ATUS;0.14285714285714285;0.7142857142857143;0.7142857142857143
Precision;0.0;(5)-anonymity;IHIS;0.2708333333333333;0.5833333333333334;0.53125
Precision;0.0;recursive-(4,3)-diversity;ADULT;0.0;0.75;0.75
Precision;0.0;recursive-(4,3)-diversity;CUP;1.0;0.8400000000000004;0.8400000000000004
Precision;0.0;recursive-(4,3)-diversity;FARS;0.25;0.5;0.5
Precision;0.0;recursive-(4,3)-diversity;ATUS;0.16666666666666666;1.0;0.8333333333333334
Precision;0.0;recursive-(4,3)-diversity;IHIS;0.2222222222222222;0.8888888888888888;0.6666666666666666
Precision;0.0;(0.2)-closeness;ADULT;0.6666666666666666;1.0;1.0
Precision;0.0;(0.2)-closeness;CUP;0.5;0.8000000000000006;0.8000000000000006
Precision;0.0;(0.2)-closeness;FARS;1.0;0.0;0.0
Precision;0.0;(0.2)-closeness;ATUS;0.5;1.0;0.75
Precision;0.0;(0.2)-closeness;IHIS;0.42500000000000004;0.8125;0.5625
Precision;0.0;(0.05, 0.015)-presence;ADULT;0.0;0.8;0.8
Precision;0.0;(0.05, 0.015)-presence;CUP;1.0;1.0;1.0
Precision;0.0;(0.05, 0.015)-presence;FARS;0.2500000000000003;0.4000000000000009;0.4000000000000009
Precision;0.0;(0.05, 0.015)-presence;ATUS;0.0;0.8333333333333334;0.8333333333333334
Precision;0.0;(0.05, 0.015)-presence;IHIS;0.3333333333333333;0.5555555555555556;0.5555555555555556
Precision;0.0;(0.01)-uniqueness;ADULT;0.0967741935483871;0.0967741935483871;0.0967741935483871
Precision;0.0;(0.01)-uniqueness;CUP;0.03968253968253969;0.08730158730158731;0.08730158730158731
Precision;0.0;(0.01)-uniqueness;FARS;0.0;0.04639175257731958;0.04639175257731958
Precision;0.0;(0.01)-uniqueness;ATUS;0.0;0.0;0.0
Precision;0.0;(0.01)-uniqueness;IHIS;0.0;0.0;0.0
Precision;0.1;(5)-anonymity;ADULT;0.0;0.32464224593088886;0.32464224593088886
Precision;0.1;(5)-anonymity;CUP;0.16746851130200402;0.685175960412862;0.685175960412862
Precision;0.1;(5)-anonymity;FARS;0.0;0.18676410302802568;0.18676410302802568
Precision;0.1;(5)-anonymity;ATUS;0.05442001546968642;0.05442001546968642;0.05442001546968642
Precision;0.1;(5)-anonymity;IHIS;0.0;0.0;0.0
Precision;0.1;recursive-(4,3)-diversity;ADULT;0.10861542989421734;0.31921294069038897;0.31921294069038897
Precision;0.1;recursive-(4,3)-diversity;CUP;0.021685294854698833;0.6876791026268604;0.6876791026268604
Precision;0.1;recursive-(4,3)-diversity;FARS;0.0;0.1595426496274006;0.1595426496274006
Precision;0.1;recursive-(4,3)-diversity;ATUS;0.3004323735462789;0.501423719432708;0.501423719432708
Precision;0.1;recursive-(4,3)-diversity;IHIS;0.0;0.2452228170915236;0.2452228170915236
