;;;;Time;Quality;Complete
Quality measure;Privacy model;Suppression limit;Dataset;Value;Value;Value
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;51056.0;0.26939082573979733;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;51510.0;0.27373590402044373;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;53314.0;0.2849995475540146;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;53714.0;0.29486418247251256;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;55308.0;0.3061205093210887;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;55986.0;0.3218158242067833;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;58004.0;0.3333658053881393;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;58587.0;0.34088593517666654;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;61839.0;0.35243238161850715;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;65134.0;0.35965875491001625;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_25;67608.0;1.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;48.0;0.0;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;90.0;0.5646067166940781;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;2055.0;0.6556815845013257;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;2110.0;0.6788425167768004;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;3276.0;0.8707110244128672;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;84307.0;0.8727436860083888;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;150544.0;0.8800758485912953;false
AECS;(0.01)-uniqueness;1.0;SS13ACS_30;186420.0;1.0;false
Loss;(5)-anonymity;0.0;SS13ACS_15;442.0;0.0;false
Loss;(5)-anonymity;0.0;SS13ACS_15;443.0;0.15212993159191496;false
Loss;(5)-anonymity;0.0;SS13ACS_15;1168.0;0.265501402399033;false
Loss;(5)-anonymity;0.0;SS13ACS_15;1169.0;0.41474146448693805;false
Loss;(5)-anonymity;0.0;SS13ACS_15;7196.0;0.42919289477589473;false
Loss;(5)-anonymity;0.0;SS13ACS_15;21626.0;0.4291928947758966;false
Loss;(5)-anonymity;0.0;SS13ACS_15;34091.0;0.46379399743899585;false
Loss;(5)-anonymity;0.0;SS13ACS_15;38598.0;0.6865413225311077;false
Loss;(5)-anonymity;0.0;SS13ACS_15;51280.0;0.7007031257949585;false
Loss;(5)-anonymity;0.0;SS13ACS_15;72028.0;0.7204851405135828;false
Loss;(5)-anonymity;0.0;SS13ACS_15;101964.0;0.9528939284530962;false
Loss;(5)-anonymity;0.0;SS13ACS_15;228837.0;0.9861574644962393;false
Loss;(5)-anonymity;0.0;SS13ACS_15;271168.0;0.9999999999999961;false
